taxonname,group,2010,2011,2012,2013,2014,2015,2016,2017,2019,2020
Ablabesmyia_monilis,Diptera,0,0,0,0,10,0,0,0,0,0
Ablabesmyia_sp.,Diptera,0,0,5,0,0,0,0,0,0,0
Acentrella_inexpectata,Ephemeroptera,0,0,0,0,0,11,0,38,0,0
Acentria_ephemerella,Lepidoptera,0,0,0,1,0,0,0,0,0,1
Acilius_canaliculatus_Ad.,Coleoptera,0,0,0,0,0,0,0,0,0,1
Acilius_sp._Ad.,Coleoptera,0,0,0,24,0,0,0,5,0,0
Acroloxus_lacustris,Gastropoda,0,4,0,0,36,33,0,18,0,26
Aeshna_caerulea,Odonata,0,0,0,0,0,0,0,0,0,1
Aeshna_cyanea,Odonata,0,0,0,0,0,0,3,1,0,5
Aeshna_grandis,Odonata,0,0,0,0,0,0,2,0,0,1
Aeshna_juncea,Odonata,0,0,0,0,0,2,0,0,0,0
Aeshna_sp.,Odonata,0,1,0,0,0,0,0,0,0,0
Agabus_sp._Ad.,Coleoptera,55,0,123,45,14,2,26,12,0,11
Agapetus_ochripes,Trichoptera,9,0,0,0,16,46,0,0,0,0
Agapetus_sp.,Trichoptera,0,0,0,0,12,0,0,0,0,0
Agraylea_multipunctata,Trichoptera,0,0,0,61,0,0,0,0,0,0
Agrypnia_obsoleta,Trichoptera,0,0,1,0,4,0,2,0,0,0
Agrypnia_pagetana,Trichoptera,0,0,0,0,0,0,0,10,0,0
Allotrichia_pallicornis,Trichoptera,0,0,0,0,0,72,0,0,0,0
Ametropus_sp.,Ephemeroptera,4,0,0,0,0,0,0,0,0,0
Ampullaceana_ampla,Gastropoda,0,0,0,0,0,0,10,0,0,1
Ampullaceana_balthica,Gastropoda,10,0,0,0,2,30,34,101,5,110
Ampullaceana_lagotis,Gastropoda,1,0,1,7,0,0,8,0,0,0
Anabolia_laevis,Trichoptera,12,0,8,6,0,0,3,40,0,0
Anabolia_sp.,Trichoptera,3,0,34,36,16,11,33,21,0,6
Anax_imperator,Odonata,0,0,0,0,1,0,0,1,0,2
Anax_parthenope,Odonata,0,0,0,0,0,0,0,0,0,1
Ancylus_fluviatilis,Gastropoda,108,0,574,281,796,475,315,169,0,27
Anisus_sp.,Gastropoda,6,15,22,104,19,0,0,1,0,0
Anisus_spirorbis,Gastropoda,0,0,0,1,0,0,0,0,0,0
Anisus_vortex,Gastropoda,0,0,0,0,0,0,0,0,0,4
Anodonta_anatina,Bivalvia,1,0,0,0,0,0,0,0,0,0
Anodonta_cygnea,Bivalvia,0,0,0,8,5,0,0,0,0,1
